PSR(Name)	Gl	Gb	DM_meas	d_c	d_l	d_u	err_l	err_u	method	Age	DM_c	DM_l	DM_u	sigma_l	sigma_u	DM_c	DM_l	DM_u	sigma_l	sigma_u Type Bsurf   P(s)
-		-	-	-	kpc	dist	dist	dist	dist	-	-	NE2001	NE2001	NE2001	NE2001	NE2001	YMW16	YMW16	YMW16	YMW16	YMW16	s/p   
J0538+2817	179.12	-1.69	39.570	1.3	0	0	0.2	0.2	1	6.18E5	42.42	0	0	6.8	7.25	54.56	0	0	10.28	15.76	-    7.33E11 0.14315825891177
B0656+14	201.11	8.26	14.0672	0.28	0	0	0.03	0.03	1	1.11E5	3.86	0	0	0.48	0.48	34.00	0	0	0.52	0.51	-    4.65E12 0.3849286234
J1016-5857	284.08	-1.88	394.2	3	0	0	0.3	0.3	1	2.1E4	137.03	0	0	38.79	39.44	353.78	0	0	72.6	75.59	-    2.98E12 0.1073864584588
J1124-5916	292.04	1.75	330	5	0	0	2	3	1	2.85E3	257.47	0	0	104.89	148.34	565.86	0	0	172.7	485.17	-    1.02E13 0.13547685441
J1400-6325	310.59	-1.59	563	0	6	8	1	2	2	1.27E4	376.9	327.23	426.57	58.22	82.81	443.10	337.25	538.18	207.77	94.08	-    1.11E12 0.0311816011
J1550-5418	327.24	-0.13	830	0	3.7	4.3	0.4	0.4	2	1.41E3	214.54	183.73	245.35	37.57	41.37	243.73	205.89	290.26	47.85	76.65	-    2.22E14 2.06983302
B1706-44	343.10	-2.69	75.69	2.6	0	0	0.6	0.5	1	1.75E4	93.35	0	0	35.77	33.3	98.27	0	0	28.65	51.86	-    3.12E12 0.102459245929
J1833-1034	21.50	-0.89	169.5	4.1	0	0	0.3	0.3	1	4.85E3	246.26	0	0	32.97	36.92	361.57	0	0	81.02	98.57	-    3.58E12 0.06188365001063
J1907+0631	40.51	-0.48	428	3.4	0	0	0.68	0.68	1	1.13E4	91.49	0	0	34.15	39.31	119.86	0	0	31.62	47.58	-    1.22E13 0.323648024490
J1930+1852	54.10	0.27	308	7	0	0	2	3	1	2.89E3	221.79	0	0	83.19	141.19	331.54	0	0	94.24	174.45	-    1.03E13 0.136855046957
J1957+2831	65.52	-0.22	138.99	0	9.2	10.1	1	1	2	1.57E6	305.69	284.06	327.31	48.95	29.06	310.55	304.31	315.95	34.89	19.58	-    9.9E11  0.3076828651978
J2229+6114	106.65	2.95	204.97	0.8	0	0	0.16	0.16	1	1.05E4	10.15	0	0	1.92	1.92	13.22	0	0	2.85	2.81	-    2.03E12 0.05162357393
J1357-6429	309.92	-2.51	128.5	0	2	2.5	0.2	0.2	2	7.31E3	113.815	98.95	128.68	13.84	10.02	118.32	111.92	123.12	7.53	3.45	-    7.83E12 0.166108327507
J0358+5413	148.19	-0.81	57.1420	1.0	0	0	0.1	0.2	1	5.64E5	41.23	0	0	3.57	6.94	21.33	0	0	2.69	7.4	-    8.39E11 0.156384121559
J0205+6449	130.72	3.08	140.7	2.0	0	0	0.3	0.3	1	5.37E3	56.36	0	0	12.71	15.2	77.86	0	0	28.98	31.67	-    3.61E12 0.06571592849324
J1833-0827	23.39	0.06	411	4.5	0	0	0.5	0.5	1	1.47E5	387.93	0	0	192.87	71.24	460.94	0	0	151.74	189.61	-    8.95E11 0.0852842512617
J1856+0113	34.56	-0.50	96.74	0	2.5	2.6	0.3	0.3	2	2.03E4	68.165	65.55	70.78	15.41	16.16	85.21	83.14	87.36	12.92	9.53	-    7.55E12 0.26743960987
J1803-2137	8.40	0.15	233.99	4.4	0	0	0.6	0.5	1	1.58E4	295.74	0	0	70.22	64.88	578.95	0	0	231.31	195.55	-    4.29E12 0.13366692025028

